"rgn_id","year","count"
6,1990,455391.10867387
3,1990,21632.748549584
5,1990,187208.934586001
4,1990,16420.470062736
7,1990,36690.7853899979
1,1990,63264.4943004824
2,1990,64389.2144297033
6,1991,445536.598297914
3,1991,21164.6231492812
5,1991,183157.796227762
4,1991,16065.1366152242
7,1991,35896.8091387254
1,1991,61895.4719290769
2,1991,62995.853493112
6,1992,429173.826330184
3,1992,20387.3314437341
5,1992,176431.145117088
4,1992,15475.1285932803
7,1992,34578.463340535
1,1992,59622.2995412649
2,1992,60682.2685046774
6,1993,410520.069466478
3,1993,19501.2095497149
5,1993,168762.68193903
4,1993,14802.5123513207
7,1993,33075.5332728038
1,1993,57030.8556761814
2,1993,58044.7537887788
6,1994,393253.162888344
3,1994,18680.9681327893
5,1994,161664.34575609
4,1994,14179.9030883336
7,1994,31684.3415004119
1,1994,54632.0778081188
2,1994,55603.3302980242
6,1995,377993.844447363
3,1995,17956.0945184734
5,1995,155391.318695542
4,1995,13629.6833390558
7,1995,30454.9007681454
1,1995,52512.2009678574
2,1995,53445.7661549546
6,1996,374073.119258206
3,1996,17769.8456863518
5,1996,153779.528804421
4,1996,13488.3100241919
7,1996,30139.0085960136
1,1996,51967.5203808659
2,1996,52891.4022024837
6,1997,370948.226009717
3,1997,17621.40179142
5,1997,152494.901316968
4,1997,13375.632778065
7,1997,29887.2364701132
1,1997,51533.3994958879
2,1997,52449.5634893108
6,1998,364989.725577342
3,1998,17338.3511583905
5,1998,150045.392539944
4,1998,13160.7814643151
7,1998,29407.161087774
1,1998,50705.6241848126
2,1998,51607.0719370779
6,1999,356266.456573058
3,1999,16923.9638739097
5,1999,146459.301671471
4,1999,12846.2382622066
7,1999,28704.3287644389
1,1999,49493.7577436558
2,1999,50373.6608586744
6,2000,353589.116020318
3,2000,16796.7803741535
5,2000,145358.660787502
4,2000,12749.698849037
7,2000,28488.6158843113
1,2000,49121.8124137776
2,2000,49995.1030615014
6,2001,355439.60425822
3,2001,16884.6853551292
5,2001,146119.386952074
4,2001,12816.4236623527
7,2001,28637.7094118536
1,2001,49378.8885848974
2,2001,50256.7495488404
6,2002,349390.165257725
3,2002,16597.3148064489
5,2002,143632.493799014
4,2002,12598.2932902134
7,2002,28150.3071243048
1,2002,48538.4797761211
2,2002,49401.3998997957
6,2003,360348.840048837
3,2003,17117.8920677905
5,2003,148137.548449933
4,2003,12993.4406435702
7,2003,29033.245717661
1,2003,50060.8964541323
2,2003,50950.8821965517
6,2004,362561.222503957
3,2004,17222.9883519198
5,2004,149047.047459534
4,2004,13073.214620663
7,2004,29211.4970017008
1,2004,50368.2482108015
2,2004,51263.6980719387
6,2005,361372.824400487
3,2005,17166.535081622
5,2005,148558.503132301
4,2005,13030.3634206529
7,2005,29115.7479654509
1,2005,50203.1518713877
2,2005,51095.6666394959
6,2006,373788.577149713
3,2006,17756.3288921774
5,2006,153662.555012089
4,2006,13478.0500189237
7,2006,30116.0830859667
1,2006,51927.9908154921
2,2006,52851.1698780288
6,2007,374669.588366216
3,2007,17798.1801575029
5,2007,154024.734176457
4,2007,13509.8174777739
7,2007,30187.0660121926
1,2007,52050.3839145744
2,2007,52975.7388892676
6,2008,378360.385641037
3,2008,17973.5065700589
5,2008,155542.001888609
4,2008,13642.90006328
7,2008,30484.432930758
1,2008,52563.1221273101
2,2008,53497.592593959
6,2009,377053.996106912
3,2009,17911.4482738795
5,2009,155004.951893167
4,2009,13595.7943341017
7,2009,30379.1773446929
1,2009,52381.6340137705
2,2009,53312.8779734068
6,2010,375166.056831252
3,2010,17821.7642311977
5,2010,154228.829800251
4,2010,13527.7191131197
7,2010,30227.066393308
1,2010,52119.3550160702
2,2010,53045.9361633115
6,2011,379959.465991307
3,2011,18049.4687539248
5,2011,156199.375568046
4,2011,13700.5596234238
7,2011,30613.2705668814
1,2011,52785.2718526314
2,2011,53723.6917109657
6,2012,376107.811856555
3,2012,17866.5010503179
5,2012,154615.980430928
4,2012,13561.6768692218
7,2012,30302.9434380399
1,2012,52250.1868533545
2,2012,53179.0939371668
